floor,event_id,room,wave,delay_frames,event_type,actions,enemy_records,enemy_types
8,321,32,1,3,1,trigger_event(322); stop,3,"{""0x00A6"": 1, ""0x00A0"": 2}"
8,202,20,2,3,1,trigger_event(203); stop,3,"{""0x00A6"": 2, ""0x00A5"": 1}"
8,203,20,3,3,1,set_switch(20); stop,4,"{""0x00A1"": 2, ""0x00A0"": 2}"
8,601,60,1,3,1,trigger_event(602); stop,4,"{""0x00A5"": 2, ""0x00A1"": 2}"
8,602,60,2,3,1,set_switch(60); stop,6,"{""0x00A0"": 2, ""0x00A6"": 2, ""0x00A7"": 2}"
9,301,30,1,3,1,trigger_event(302); stop,3,"{""0x00A2"": 1, ""0x00A3"": 1, ""0x00A7"": 1}"
9,302,30,2,3,1,trigger_event(303); stop,4,"{""0x00A7"": 1, ""0x00A8"": 3}"
9,303,30,3,3,1,set_switch(30); stop,4,"{""0x00A6"": 3, ""0x00A4"": 1}"
9,411,41,1,3,1,trigger_event(412); stop,4,"{""0x00A8"": 4}"
9,412,41,2,3,1,trigger_event(413); stop,4,"{""0x00A7"": 1, ""0x00A3"": 1, ""0x00A2"": 2}"
9,413,41,3,3,1,set_switch(41); stop,5,"{""0x00A6"": 2, ""0x00A0"": 3}"
9,501,50,1,3,1,trigger_event(502); stop,3,"{""0x00A3"": 1, ""0x00A2"": 2}"
9,502,50,2,3,1,set_switch(50); stop,3,"{""0x00A6"": 3}"
9,321,32,1,3,1,trigger_event(322); stop,3,"{""0x00A6"": 1, ""0x00A8"": 2}"
9,322,32,2,3,1,trigger_event(323); stop,4,"{""0x00A7"": 2, ""0x00A0"": 2}"
9,323,32,3,3,1,set_switch(32); stop,2,"{""0x00A4"": 2}"
9,441,44,1,3,1,trigger_event(442); stop,2,"{""0x00A7"": 2}"
9,442,44,2,3,1,trigger_event(443); stop,4,"{""0x00A6"": 1, ""0x00A2"": 2, ""0x00A3"": 1}"
9,443,44,3,3,1,set_switch(44); stop,5,"{""0x00A0"": 5}"
9,221,22,1,3,1,trigger_event(222); stop,3,"{""0x00A0"": 2, ""0x00A3"": 1}"
9,222,22,2,3,1,set_switch(22); stop,4,"{""0x00A2"": 3, ""0x00A3"": 1}"
9,601,60,1,3,1,trigger_event(602); stop,3,"{""0x00A8"": 3}"
9,602,60,2,3,1,trigger_event(603); stop,4,"{""0x00A6"": 1, ""0x00A2"": 2, ""0x00A3"": 1}"
9,603,60,3,3,1,set_switch(60); stop,4,"{""0x00A4"": 1, ""0x00A6"": 3}"
9,421,42,1,3,1,trigger_event(422); stop,1,"{""0x00A4"": 1}"
9,422,42,2,3,1,trigger_event(423); stop,4,"{""0x00A6"": 1, ""0x00A0"": 3}"
9,423,42,3,3,1,set_switch(42); stop,5,"{""0x00A2"": 2, ""0x00A3"": 1, ""0x00A7"": 2}"
9,331,33,1,3,1,trigger_event(332); stop,2,"{""0x00A7"": 2}"
9,332,33,2,3,1,trigger_event(333); stop,3,"{""0x00A6"": 3}"
9,333,33,3,3,1,set_switch(33); stop,4,"{""0x00A4"": 1, ""0x00A0"": 3}"
9,241,24,1,3,1,trigger_event(242); stop,4,"{""0x00A8"": 3, ""0x00A6"": 1}"
9,242,24,2,3,1,set_switch(24); stop,4,"{""0x00A7"": 1, ""0x00A2"": 2, ""0x00A3"": 1}"
9,231,23,1,3,1,trigger_event(232); stop,3,"{""0x00A0"": 2, ""0x00A6"": 1}"
9,232,23,2,3,1,set_switch(23); stop,4,"{""0x00A7"": 1, ""0x00A8"": 3}"
9,431,43,1,3,1,trigger_event(432); stop,2,"{""0x00A7"": 2}"
9,432,43,2,3,1,trigger_event(433); stop,3,"{""0x00A6"": 3}"
9,433,43,3,3,1,set_switch(43); stop,4,"{""0x00A4"": 1, ""0x00A2"": 2, ""0x00A3"": 1}"
9,311,31,1,3,1,trigger_event(312); stop,3,"{""0x00A8"": 3}"
9,312,31,2,3,1,trigger_event(313); stop,4,"{""0x00A3"": 1, ""0x00A0"": 3}"
9,313,31,3,3,1,set_switch(31); stop,5,"{""0x00A6"": 2, ""0x00A2"": 2, ""0x00A3"": 1}"
9,401,40,1,3,1,trigger_event(402); stop,3,"{""0x00A3"": 2, ""0x00A2"": 1}"
9,402,40,2,3,1,trigger_event(403); stop,4,"{""0x00A6"": 1, ""0x00A8"": 3}"
9,403,40,3,3,1,set_switch(40); stop,4,"{""0x00A4"": 1, ""0x00A0"": 3}"
9,211,21,1,3,1,trigger_event(212); stop,3,"{""0x00A8"": 2, ""0x00A6"": 1}"
9,212,21,2,3,1,set_switch(21); stop,3,"{""0x00A7"": 1, ""0x00A0"": 2}"
9,201,20,1,3,1,trigger_event(202); stop,3,"{""0x00A0"": 3}"
9,202,20,2,3,1,set_switch(20); stop,4,"{""0x00A7"": 1, ""0x00A8"": 3}"
10,401,40,1,3,1,trigger_event(402); stop,3,"{""0x00A7"": 1, ""0x00A8"": 2}"
10,402,40,2,3,1,trigger_event(403); stop,3,"{""0x00A6"": 2, ""0x00A5"": 1}"
10,403,40,3,3,1,set_switch(40); stop,5,"{""0x00A2"": 2, ""0x00A3"": 1, ""0x00A1"": 2}"
10,301,30,1,3,1,trigger_event(302); stop,4,"{""0x00A6"": 1, ""0x00A8"": 3}"
10,302,30,2,3,1,trigger_event(303); stop,4,"{""0x00A6"": 1, ""0x00A3"": 1, ""0x00A2"": 2}"
10,303,30,3,3,1,set_switch(30); stop,4,"{""0x00A4"": 1, ""0x00A1"": 3}"
10,201,20,1,3,1,trigger_event(202); stop,3,"{""0x00A8"": 3}"
10,202,20,2,3,1,set_switch(20); stop,4,"{""0x00A6"": 1, ""0x00A2"": 2, ""0x00A3"": 1}"
10,411,41,1,3,1,trigger_event(412); stop,3,"{""0x00A2"": 2, ""0x00A3"": 1}"
10,412,41,2,3,1,trigger_event(413); stop,4,"{""0x00A1"": 3, ""0x00A6"": 1}"
10,413,41,3,3,1,set_switch(41); stop,4,"{""0x00A6"": 3, ""0x00A4"": 1}"
10,311,31,1,3,1,trigger_event(312); stop,4,"{""0x00A8"": 4}"
10,312,31,2,3,1,trigger_event(313); stop,6,"{""0x00A6"": 2, ""0x00A2"": 3, ""0x00A3"": 1}"
10,313,31,3,3,1,set_switch(31); stop,6,"{""0x00A1"": 4, ""0x00A4"": 2}"
10,421,42,1,3,1,trigger_event(422); stop,3,"{""0x00A7"": 1, ""0x00A8"": 2}"
10,422,42,2,3,1,trigger_event(423); stop,4,"{""0x00A6"": 3, ""0x00A5"": 1}"
10,423,42,3,3,1,set_switch(42); stop,5,"{""0x00A3"": 1, ""0x00A2"": 2, ""0x00A1"": 2}"
10,431,43,1,3,1,trigger_event(432); stop,3,"{""0x00A8"": 3}"
10,432,43,2,3,1,trigger_event(433); stop,4,"{""0x00A6"": 1, ""0x00A2"": 2, ""0x00A3"": 1}"
10,433,43,3,3,1,set_switch(43); stop,3,"{""0x00A1"": 2, ""0x00A5"": 1}"
10,221,22,1,3,1,trigger_event(222); stop,3,"{""0x00A3"": 1, ""0x00A2"": 2}"
10,222,22,2,3,1,set_switch(22); stop,4,"{""0x00A1"": 3, ""0x00A6"": 1}"
10,601,60,1,3,1,trigger_event(602); stop,2,"{""0x00A6"": 2}"
10,602,60,2,3,1,set_switch(60); stop,1,"{""0x00A5"": 1}"
10,603,60,3,3,1,trigger_event(604); stop,3,"{""0x00A6"": 3}"
10,604,60,4,3,1,trigger_event(605); stop,3,"{""0x00A5"": 1, ""0x00A1"": 2}"
10,605,60,5,3,1,set_switch(61); stop,3,"{""0x00A7"": 1, ""0x00A2"": 1, ""0x00A3"": 1}"
10,501,50,1,3,1,trigger_event(502); stop,4,"{""0x00A6"": 1, ""0x00A8"": 3}"
10,502,50,2,3,1,"construct_objects(room=50,group_or_wave=1); stop",4,"{""0x00A5"": 2, ""0x00A1"": 2}"
10,321,32,1,3,1,trigger_event(322); stop,4,"{""0x00A7"": 1, ""0x00A3"": 1, ""0x00A2"": 2}"
10,322,32,2,3,1,trigger_event(323); stop,5,"{""0x00A4"": 1, ""0x00A5"": 2, ""0x00A6"": 2}"
10,323,32,3,3,1,set_switch(32); stop,6,"{""0x00A6"": 2, ""0x00A5"": 1, ""0x00A1"": 3}"
10,211,21,1,3,1,trigger_event(212); stop,2,"{""0x00A1"": 2}"
10,212,21,2,3,1,set_switch(21); stop,3,"{""0x00A6"": 3}"
10,441,44,1,3,1,trigger_event(442); stop,4,"{""0x00A7"": 1, ""0x00A8"": 3}"
10,442,44,2,3,1,trigger_event(443); stop,4,"{""0x00A6"": 1, ""0x00A1"": 3}"
10,443,44,3,3,1,set_switch(44); stop,4,"{""0x00A2"": 2, ""0x00A3"": 1, ""0x00A5"": 1}"
10,801,80,1,3,1,trigger_event(802); stop,4,"{""0x00A8"": 4}"
10,802,80,2,3,1,trigger_event(803); stop,4,"{""0x00A6"": 2, ""0x00A1"": 2}"
10,803,80,3,3,1,trigger_event(804); stop,4,"{""0x00A5"": 1, ""0x00A2"": 2, ""0x00A3"": 1}"
10,804,80,4,3,1,trigger_event(805); stop,4,"{""0x00A1"": 1, ""0x00A7"": 3}"
10,805,80,5,3,1,set_switch(80); stop,6,"{""0x00A4"": 2, ""0x00A5"": 2, ""0x00A7"": 2}"
14,1,0,1,50,1,"construct_objects(room=0,group_or_wave=1); construct_objects(room=1,group_or_wave=1); construct_objects(room=2,group_or_wave=1); stop",1,"{""0x00C8"": 1}"
