floor,event_id,room,wave,delay_frames,action_offset,event_type,actions,enemy_set_records,types
7,5022,50,6,1,51,1,stop,1,"{""0x83"": 1}"
7,503,50,7,1,52,1,trigger_event(5031); stop,1,"{""0x83"": 1}"
7,5031,50,8,1,58,1,trigger_event(5032); stop,1,"{""0x83"": 1}"
7,5032,50,9,1,64,1,stop,1,"{""0x83"": 1}"
7,504,50,10,1,65,1,trigger_event(5041); stop,1,"{""0x83"": 1}"
7,5041,50,11,1,71,1,trigger_event(5042); stop,1,"{""0x83"": 1}"
7,5042,50,12,1,77,1,stop,1,"{""0x83"": 1}"
7,505,50,13,1,78,1,trigger_event(5051); stop,1,"{""0x83"": 1}"
7,5051,50,14,1,84,1,trigger_event(5052); stop,1,"{""0x83"": 1}"
7,5052,50,15,1,90,1,set_switch(4); set_switch(5); stop,1,"{""0x83"": 1}"
7,506,50,16,1,97,1,set_switch(4); set_switch(5); stop,1,"{""0x83"": 1}"
7,511,51,1,1,104,1,trigger_event(5111); stop,6,"{""0x80"": 6}"
7,5111,51,2,1,110,1,trigger_event(5112); stop,6,"{""0x80"": 6}"
7,5112,51,3,1,116,1,set_switch(6); set_switch(7); set_switch(8); set_switch(9); set_switch(10); stop,6,"{""0x80"": 6}"
7,512,51,4,1,132,1,set_switch(6); set_switch(7); set_switch(8); set_switch(9); set_switch(10); stop,1,"{""0x82"": 1}"
7,601,60,1,100,148,1,trigger_event(6011); stop,3,"{""0x81"": 3}"
7,6011,60,2,60,154,1,trigger_event(6012); stop,8,"{""0x80"": 8}"
7,6012,60,3,1,160,1,set_switch(1); set_switch(90); stop,1,"{""0x84"": 1}"
7,602,60,4,30,167,1,set_switch(1); set_switch(90); stop,2,"{""0x80"": 1, ""0x85"": 1}"
10,221,22,1,1,0,1,trigger_event(2211); stop,6,"{""0xa8"": 6}"
10,2211,22,2,100,6,1,trigger_event(2212); stop,4,"{""0xa6"": 4}"
10,2212,22,3,100,12,1,set_switch(16); set_switch(17); set_switch(18); set_switch(19); stop,2,"{""0xa5"": 2}"
10,222,22,4,60,25,1,set_switch(16); set_switch(17); set_switch(18); set_switch(19); stop,1,"{""0xa4"": 1}"
10,401,40,1,30,38,1,trigger_event(4011); stop,2,"{""0xa5"": 2}"
10,4011,40,2,100,44,1,trigger_event(4012); stop,5,"{""0xa1"": 1, ""0xa6"": 4}"
10,4012,40,3,100,50,1,set_switch(24); set_switch(25); set_switch(90); stop,3,"{""0xa4"": 3}"
10,402,40,4,30,60,1,set_switch(24); set_switch(25); set_switch(90); stop,1,"{""0xa6"": 1}"
10,701,70,1,30,70,1,trigger_event(7011); stop,4,"{""0xa6"": 4}"
10,7011,70,2,60,76,1,trigger_event(7012); stop,8,"{""0xa6"": 8}"
10,7012,70,3,60,82,1,set_switch(22); set_switch(23); stop,8,"{""0xa8"": 8}"
10,702,70,4,100,89,1,set_switch(22); set_switch(23); stop,1,"{""0xa1"": 1}"
11,1,1,1,50,0,1,"construct_objects(room=1,group_or_wave=1); stop",1,"{""0xc0"": 1}"
12,1,1,1,50,0,1,"construct_objects(room=1,group_or_wave=1); stop",1,"{""0xc1"": 1}"
14,1,0,1,50,0,1,"construct_objects(room=0,group_or_wave=1); construct_objects(room=1,group_or_wave=1); construct_objects(room=2,group_or_wave=1); stop",1,"{""0xc8"": 1}"
